# source: WDI-2025
# description: Gross domestic product (GDP) data from {{source}} averaged over period Jan 2018 till Dec 2022 (to account for the idiosyncratic COVID-19 dip in 2020).
variable,year,region,unit,value
GDP|PPP,2020,ABW,billion USD_2010/yr,3.2319543360000003
GDP|PPP,2020,AFG,billion USD_2010/yr,81.08789289599999
GDP|PPP,2020,AGO,billion USD_2010/yr,215.95488526
GDP|PPP,2020,AIA,billion USD_2010/yr,0.0
GDP|PPP,2020,ALA,billion USD_2010/yr,0.0
GDP|PPP,2020,ALB,billion USD_2010/yr,35.872040736
GDP|PPP,2020,AND,billion USD_2010/yr,4.295258544
GDP|PPP,2020,ARE,billion USD_2010/yr,536.12438888
GDP|PPP,2020,ARG,billion USD_2010/yr,980.11437516
GDP|PPP,2020,ARM,billion USD_2010/yr,39.160845072
GDP|PPP,2020,ASM,billion USD_2010/yr,0.0
GDP|PPP,2020,ATA,billion USD_2010/yr,0.0
GDP|PPP,2020,ATF,billion USD_2010/yr,0.0
GDP|PPP,2020,ATG,billion USD_2010/yr,2.0623906560000003
GDP|PPP,2020,AUS,billion USD_2010/yr,1165.763262
GDP|PPP,2020,AUT,billion USD_2010/yr,437.59986422
GDP|PPP,2020,AZE,billion USD_2010/yr,166.3365145
GDP|PPP,2020,BDI,billion USD_2010/yr,8.771654832
GDP|PPP,2020,BEL,billion USD_2010/yr,530.48270404
GDP|PPP,2020,BEN,billion USD_2010/yr,36.27648528
GDP|PPP,2020,BES,billion USD_2010/yr,0.0
GDP|PPP,2020,BFA,billion USD_2010/yr,42.668644704
GDP|PPP,2020,BGD,billion USD_2010/yr,976.5486702
GDP|PPP,2020,BGR,billion USD_2010/yr,147.48716474
GDP|PPP,2020,BHR,billion USD_2010/yr,68.62058784000001
GDP|PPP,2020,BHS,billion USD_2010/yr,9.96066576
GDP|PPP,2020,BIH,billion USD_2010/yr,45.429389856
GDP|PPP,2020,BLM,billion USD_2010/yr,0.0
GDP|PPP,2020,BLR,billion USD_2010/yr,206.699778
GDP|PPP,2020,BLZ,billion USD_2010/yr,3.712950816
GDP|PPP,2020,BMU,billion USD_2010/yr,4.963032288
GDP|PPP,2020,BOL,billion USD_2010/yr,93.428090448
GDP|PPP,2020,BRA,billion USD_2010/yr,3088.9517174
GDP|PPP,2020,BRB,billion USD_2010/yr,4.037095872
GDP|PPP,2020,BRN,billion USD_2010/yr,28.973707104
GDP|PPP,2020,BTN,billion USD_2010/yr,8.74935144
GDP|PPP,2020,BVT,billion USD_2010/yr,0.0
GDP|PPP,2020,BWA,billion USD_2010/yr,34.683739296
GDP|PPP,2020,CAF,billion USD_2010/yr,4.687860096
GDP|PPP,2020,CAN,billion USD_2010/yr,1694.935942
GDP|PPP,2020,CCK,billion USD_2010/yr,0.0
GDP|PPP,2020,CHE,billion USD_2010/yr,546.2282438999999
GDP|PPP,2020,CHL,billion USD_2010/yr,433.54750528000005
GDP|PPP,2020,CHN,billion USD_2010/yr,22355.331304
GDP|PPP,2020,CIV,billion USD_2010/yr,141.58091368
GDP|PPP,2020,CMR,billion USD_2010/yr,104.292116372
GDP|PPP,2020,COD,billion USD_2010/yr,103.99322178
GDP|PPP,2020,COG,billion USD_2010/yr,31.0610208
GDP|PPP,2020,COK,billion USD_2010/yr,0.0
GDP|PPP,2020,COL,billion USD_2010/yr,659.9178199
GDP|PPP,2020,COM,billion USD_2010/yr,2.299523376
GDP|PPP,2020,CPV,billion USD_2010/yr,3.518914944
GDP|PPP,2020,CRI,billion USD_2010/yr,96.031784068
GDP|PPP,2020,CUB,billion USD_2010/yr,0.0
GDP|PPP,2020,CUW,billion USD_2010/yr,3.427081728
GDP|PPP,2020,CXR,billion USD_2010/yr,0.0
GDP|PPP,2020,CYM,billion USD_2010/yr,4.262058143999999
GDP|PPP,2020,CYP,billion USD_2010/yr,34.179256944
GDP|PPP,2020,CZE,billion USD_2010/yr,383.2029281
GDP|PPP,2020,DEU,billion USD_2010/yr,4062.9955858
GDP|PPP,2020,DJI,billion USD_2010/yr,5.313810432
GDP|PPP,2020,DMA,billion USD_2010/yr,0.894336912
GDP|PPP,2020,DNK,billion USD_2010/yr,301.71051788
GDP|PPP,2020,DOM,billion USD_2010/yr,193.0066596
GDP|PPP,2020,DZA,billion USD_2010/yr,536.87921136
GDP|PPP,2020,ECU,billion USD_2010/yr,196.4665233
GDP|PPP,2020,EGY,billion USD_2010/yr,1383.5197555999998
